Data, Temperatura °C, Humidade %
22/9/2023 01:15:45, 26.70, 58.00
22/9/2023 01:16:45, 26.70, 58.00
22/9/2023 01:17:45, 26.70, 58.00
22/9/2023 01:18:45, 26.60, 58.00
22/9/2023 01:19:45, 26.60, 59.00
22/9/2023 01:20:45, 26.50, 59.00
22/9/2023 01:21:45, 26.40, 59.00
22/9/2023 01:22:45, 26.40, 59.00
22/9/2023 01:23:45, 26.40, 59.00
22/9/2023 01:24:45, 26.30, 60.00
22/9/2023 01:25:45, 26.30, 60.00
